Region,Country,CountryCode,year,Study,Type,Q1FS,Q2FS,Q3FS,Q4FS,Q5FS,Q1IncS,Q2IncS,Q3IncS,Q4IncS,Q5IncS,GDP_2011USD,pcGDP,pcGDPnew
LatAm,CostaRica,CRI,2005,Sterner,Direct,1.14,1.97,2.51,3.49,2.82,4.4,8.4,12.8,20.5,54,10607.13,10435.97993,9019.107803
LatAm,Mexico,MEX,2004,Sterner,Direct,6.55,6.19,6.45,6.42,4.49,5.7,9.8,14,20.4,50.1,13468.67,13251.34789,11807.34168
LatAm,Brazil,BRA,2017,LefevreDissertation,CGE,1,1,1,1,1,3.2,7.4,12.2,19.5,57.8,14108.92,13881.26722,11818.57137
Africa,Mali,MLI,2000,Sterner,IO,1.79,1.59,1.5,1.61,1.86,6.4,10.9,14.9,21.6,46.1,1126.335,1108.161157,835.3819772
Africa,Kenya,KEN,2004,Sterner,Direct,2.96,4.08,4.24,5.78,9.64,6.2,10.3,14.6,21.5,47.5,1811.533,1782.303227,1299.771115
Africa,Ghana,GHA,1998,Sterner,Direct,0.9,1.26,1.38,1.84,2.74,4.7,9.6,14.8,22.3,48.6,2658.274,2615.381739,1050.996248
Africa,Ethiopia,ETH,2004,Sterner,Direct,0.23,0.28,0.32,0.48,0.9,6.6,11,15,20.6,46.7,556.7588,547.7752853,564.6920888
India,India,IND,2004,Sterner,IO,2.2,2.6,3.46,5.39,6.81,8.1,11.7,15.2,20.5,44.4,2426.771,2387.614128,2074.472921
MidEast,Iran,IRN,2006,Sterner,Direct,0.28,0.268,0.27,0.28,0.258,6.1,10.5,14.9,21.7,46.7,14804.125,14565.25482,9600.787558
Eurasia,CzechRepublic,CZE,2005,Sterner,CGE,0.0076,0.0078,0.0076,0.0077,0.0074,9.7,14.7,17.8,21.9,35.9,24315.553,23923.21232,21315.66735
Eurasia,CzechRepublic,CZE,2005,Elkins2011,Direct,3.8,3.4,3.1,3,2.8,9.7,14.7,17.8,21.9,35.9,24315.553,23923.21232,21315.66735
China,China,CHN,2006,Sterner,Direct,0.64,0.77,0.93,1.16,2.08,6.4,10.6,15.3,22.3,45.4,6844.3936,6733.95671,4611.303228
China,China,CHN,1995,Brenner2007,Direct,2,2,2,2.6,3.1,6.4,10.6,15.3,22.3,45.4,3424.9253,3369.66283,1849.152636
USA,USA,USA,2015,Metcalf2009,IO,3.25,2.2,1.65,1.3,0.95,5,10.2,15.3,22.6,46.9,54595.74,53714.817,47645.75345
USA,USA,USA,2019,Horowitz2017,IO,1,1.45,1.65,1.8,1.65,5,10.2,15.3,22.6,46.9,56153.42,55247.36324,49970.10066
USA,USA,USA,2010,Mathur2014,IO,3.14,1.85,1.38,1.04,0.74,5,10.2,15.3,22.6,46.9,49907.13,49101.8595,43952.44649
USA,USA,USA,2013,Cullenward2016,CGE,2.46,1.66,1.39,1.19,0.99,5,10.2,15.3,22.6,46.9,51959.73,51121.34002,45867.15227
USA,USA,USA,2015,Williams2015,Direct,1.05,0.71,0.57,0.47,0.23,5,10.2,15.3,22.6,46.9,54595.74,53714.817,47645.75345
USA,USA,USA,2013,Goulder2019,CGE,0.53,0.46,0.43,0.36,0.31,5,10.2,15.3,22.6,46.9,51959.73,51121.34002,45867.15227
EU,Cyprus,CYP,2003,Berri2014,Direct,20,13.7,13.4,11.5,8.6,7.9,12.1,16.2,21.7,42.1,27344.6,26903.38449,23630.26688
EU,Denmark,DNK,2005,Berri2014,Direct,25.1,15.8,13.4,11.9,7.6,9.4,13.9,17.2,21.8,37.7,37054.88,36456.98544,33193.23729
EU,France,FRA,2002,Davies2014,IO,8.48,7.7,6.85,6.07,5.03,7.9,12.8,16.7,21.7,40.9,32763.17,32234.52381,28576.05389
EU,France,FRA,2004,Bureau2011,IO,0.5,0.32,0.28,0.24,0.16,7.9,12.8,16.7,21.7,40.9,32163.28,31644.31326,29142.93536
EU,France,FRA,2012,Berry2019,IO,0.7,0.55,0.51,0.43,0.34,7.9,12.8,16.7,21.7,40.9,37608.25,37001.4266,29818.99757
EU,France,FRA,2006,Sterner,Direct,1.05,0.85,0.825,0.65,0.5,7.9,12.8,16.7,21.7,40.9,34900.83,34337.69185,29969.53072
EU,France,FRA,2001,Berri2014,Direct,12.2,14,11.8,9.9,8.1,7.9,12.8,16.7,21.7,40.9,32729.45,32201.34789,28519.57134
EU,Germany,DEU,2000,NikodinoskaDissertation,Direct,0.455,0.41,0.37,0.34,0.28,7.8,12.9,17,22.6,39.7,34435.97,33880.33255,30297.62732
EU,Germany,DEU,2006,Sterner,Direct,1.425,2.05,2.075,2,1.925,7.8,12.9,17,22.6,39.7,37150.16,36550.72806,32302.18373
EU,Ireland,IRL,2014,DeBruin2018,IO,0.1405,0.122,0.1255,0.1165,0.089,8,12.9,16.9,22.1,40.2,49497.03,48698.37662,46771.00587
EU,Ireland,IRL,2004,Verde,IO,1.675,0.925,0.625,0.5,0.145,8,12.9,16.9,22.1,40.2,40741.15,40083.77607,37345.03311
EU,Italy,ITA,2002,Davies2014,IO,11.19,10.87,10.75,10.63,8.86,5.9,12.1,17.2,23.5,41.3,32722.49,32194.5002,28253.9674
EU,Italy,ITA,2011,Verde2016,Direct,0.17,0.21,0.19,0.18,0.15,5.9,12.1,17.2,23.5,41.3,36696.62,36104.5061,27080.64589
Eurasia,Serbia,SRB,2007,Sterner,Direct,0.6,0.875,1.15,1.3,1.65,4.8,11,16.5,23.3,44.4,10769.4,10595.63164,9374.71473
EU,Spain,ESP,2002,Davies2014,IO,8.29,8.07,7.95,7.83,7.61,5.8,11.7,17,23.5,42.1,27417.34,26974.95081,26021.34557
EU,Spain,ESP,2006,Sterner,Direct,2.4,2.4,2.3,2,2.1,5.8,11.7,17,23.5,42.1,32784.45,32255.46045,27867.00841
EU,Spain,ESP,2005,Elkins2011,Direct,3.7,4,3.9,3.6,2.8,5.8,11.7,17,23.5,42.1,30136.85,29650.58048,27232.02518
EU,Sweden,SWE,2005,Sterner,Direct,1.975,1.775,1.475,1.175,0.85,8.2,13.9,17.6,22.8,37.6,36747.21,36154.27981,32702.98278
EU,Sweden,SWE,2005,Elkins2011,Direct,3.8,3.7,4.9,4.6,3.8,8.2,13.9,17.6,22.8,37.6,36747.21,36154.27981,32702.98278
EU,UK,GBR,2002,Davies2014,IO,8.82,9.77,10.45,11.27,7.93,7.5,12.2,16.8,23,40.6,33643.07,33100.22629,30535.60131
EU,UK,GBR,2006,Feng2010,IO,5.3,4.65,4.6,4,3,7.5,12.2,16.8,23,40.6,37359.76,36756.94608,33901.95774
EU,UK,GBR,2006,Sterner,Direct,2.4,2.35,2.425,2.45,1.525,7.5,12.2,16.8,23,40.6,37359.76,36756.94608,33901.95774
EU,UK,GBR,1999,Santos2005,Direct,0.13,0.19,0.195,0.17,0.11,7.5,12.2,16.8,23,40.6,31109.63,30607.66431,28315.32811
EU,UK,GBR,2000,Dresner2006,IO,0.455,0.3,0.25,0.21,0.145,7.5,12.2,16.8,23,40.6,32722.47,32194.48052,29445.12306
EU,UK,GBR,2005,Elkins2011,Direct,5.7,4.2,3.7,3,2.2,7.5,12.2,16.8,23,40.6,36188.61,35604.69303,33233.61245
Japan,Japan,JPN,2017,Lee2018,CGE,0.7,0.55,0.5,0.4,0.25,7.4,12.9,17.3,22.7,39.7,40063.53,39417.08973,33210.23791
Japan,Japan,JPN,2002,Davies2014,CGE,0.85,0.78,0.76,0.75,0.78,7.4,12.9,17.3,22.7,39.7,33793.64,33248.36678,28944.64887
OHI,Australia,AUS,2004,Siriwardana2011,CGE,2.8,1.5,1.1,0.85,0.65,6.8,12,17,22.1,43,39174.39,38542.29634,31939.79269
OHI,Australia,AUS,2015,Sajeewani,CGE,0.16,0.59,0.75,0.74,0.66,6.8,12,17,22.1,43,45658.83,44922.10744,39086.54942
OHI,Canada,CAN,2006,Beck2015,CGE,0.21,0.33,0.54,0.62,0.65,6.6,12.3,16.1,23.3,40.7,41138.86,40475.06887,35736.52576
